feature_name,correlation,abs_correlation,p_value,feature_type
exclamation_ratio,0.3185804584455895,0.3185804584455895,2.903078858609062e-281,Text_Stats
superlatives,0.3154295496553394,0.3154295496553394,1.798001416610943e-275,Urgency_Language
positive_emotions,0.3132788179940606,0.3132788179940606,1.472062268138143e-271,Emotional_Indicators
time_pressure,0.27723399035143786,0.27723399035143786,1.0251897237397638e-210,Urgency_Language
spam_phrase_score,0.2535993719606001,0.2535993719606001,1.6896119134872143e-175,Other
offer_count,0.24121169261062095,0.24121169261062095,1.8418405742406473e-158,Text_Stats
first_person_claims,-0.2236244510795982,0.2236244510795982,6.621469396432795e-136,Other
imperative_verbs,0.20916712236848925,0.20916712236848925,9.069937262548925e-119,Urgency_Language
excited_count,0.201826478263413,0.201826478263413,1.5204545127736967e-110,Text_Stats
upper_ratio,0.18299882976263843,0.18299882976263843,6.813984318114783e-91,Text_Stats
caps_ratio,0.17892267445089893,0.17892267445089893,6.573285859414453e-87,Text_Stats
personal_pronouns,0.1461080739247146,0.1461080739247146,2.8986372318530656e-58,Other
excitement_words,0.1456924147080721,0.1456924147080721,6.1146975989511055e-58,Text_Stats
free_count,0.14194375005159804,0.14194375005159804,4.6437584078586634e-55,Text_Stats
call_to_action,0.11238412369724321,0.11238412369724321,4.84321918988476e-35,Urgency_Language
avg_word_length,0.11155115299488418,0.11155115299488418,1.5156298589150457e-34,Text_Stats
scarcity_words,0.10031993223207869,0.10031993223207869,3.1457521150091767e-28,Text_Stats
long_sentences,-0.09050813834820369,0.09050813834820369,2.923766742702826e-23,Text_Stats
money_count,0.08880280749957481,0.08880280749957481,1.893947315287768e-22,Text_Stats
simple_words,-0.08806987865393916,0.08806987865393916,4.1820023251753883e-22,Text_Stats
url_count,-0.08788528856685571,0.08788528856685571,5.100095940010968e-22,Text_Stats
promotional_words,0.07992701639327576,0.07992701639327576,1.7901457107207383e-18,Text_Stats
avg_words_per_sentence,-0.0739209450818985,0.0739209450818985,5.108103752585908e-16,Text_Stats
avg_sentence_length,-0.0709999292456374,0.0709999292456374,6.827048510439193e-15,Text_Stats
word_count,-0.07059819816775327,0.07059819816775327,9.674042281927718e-15,Text_Stats
question_ratio,-0.06838620356128175,0.06838620356128175,6.368628785909645e-14,Text_Stats
syllable_count,-0.06247353312590175,0.06247353312590175,7.360920835937798e-12,Text_Stats
special_char_density,0.062101649917665556,0.062101649917665556,9.786396040373892e-12,Text_Stats
char_count,-0.059971948459887986,0.059971948459887986,4.843994861131761e-11,Text_Stats
phone_count,-0.057084061813107254,0.057084061813107254,3.8874951534864865e-10,Text_Stats
complex_words,-0.0568750943532979,0.0568750943532979,4.502462575527104e-10,Text_Stats
complexity_ratio,0.05279726737132112,0.05279726737132112,7.131080090308733e-09,Text_Stats
suspicious_attachments,0.0477826919670834,0.0477826919670834,1.6282606705642805e-07,Other
repeated_chars,0.04760715384076108,0.04760715384076108,1.8069986293763485e-07,Text_Stats
generic_greetings,0.04123708002208555,0.04123708002208555,6.204087129829096e-06,Other
consecutive_capitals,0.03886786130400015,0.03886786130400015,2.04922275103583e-05,Other
fear_words,0.03873206876771546,0.03873206876771546,2.1901636094239665e-05,Text_Stats
url_shorteners,0.03547295024147149,0.03547295024147149,0.00010141920343861326,Spam_Tokens
caps_words,0.03316284836748286,0.03316284836748286,0.0002791873420448267,Text_Stats
digit_ratio,0.027731725565401936,0.027731725565401936,0.0023775441415424116,Text_Stats
non_alphabetic_ratio,0.024415902201648642,0.024415902201648642,0.007471085111357038,Text_Stats
sentence_count,-0.02295486695270965,0.02295486695270965,0.01190447321194762,Text_Stats
incomplete_sentences,-0.02295486695270965,0.02295486695270965,0.01190447321194762,Text_Stats
flesch_approx,-0.02277666966268227,0.02277666966268227,0.012580286271079578,Other
short_sentences,-0.02196987628302385,0.02196987628302385,0.016083289043094834,Text_Stats
price_patterns,-0.015090345175031883,0.015090345175031883,0.09829158001211696,Commercial_Indicators
suspicious_domains,-0.002739407597912583,0.002739407597912583,0.7641055457270314,Other
grammar_errors,-0.0018881078198601936,0.0018881078198601936,0.8361376728613024,Linguistic_Quality
email_count,-0.0006399164410202602,0.0006399164410202602,0.9441134287469839,Text_Stats
line_breaks,0.0,0.0,1.0,Other
excessive_spaces,0.0,0.0,1.0,Other
percentage_mentions,0.0,0.0,1.0,Other
number_sequences,0.0,0.0,1.0,Spam_Tokens
source_email,0.0,0.0,1.0,Source
source_mix_email_sms,0.0,0.0,1.0,Source
source_sms,0.0,0.0,1.0,Source
source_youtube,0.0,0.0,1.0,Source
